"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Derived Spectral Data File"	"Peptide Assignment File"	"Protein Assignment File"	"Post Translational Modification Assignment File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"
"Control-10h-2"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F3.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F3.mzML"	""	""	""	""	""
"Control-10h-2"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F4.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F4.mzML"	""	""	""	""	""
"Control-10h-2"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F5.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F5.mzML"	""	""	""	""	""
"Control-10h-2"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F6.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F6.mzML"	""	""	""	""	""
"Control-10h-2"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F7.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F7.mzML"	""	""	""	""	""
"Control-10h-2"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F8.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F8.mzML"	""	""	""	""	""
"Control-10h-3"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F1.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F1.mzML"	""	""	""	""	""
"Control-10h-3"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F2.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F2.mzML"	""	""	""	""	""
"Control-10h-3"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F3.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F3.mzML"	""	""	""	""	""
"Control-10h-3"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F4.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F4.mzML"	""	""	""	""	""
"Control-10h-3"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F5.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F5.mzML"	""	""	""	""	""
"Control-10h-3"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F6.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F6.mzML"	""	""	""	""	""
"Control-10h-3"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F7.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F7.mzML"	""	""	""	""	""
"Control-10h-3"	"extraction"	""	"labeling"	""	"128N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F8.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F8.mzML"	""	""	""	""	""
"Control-24h-1"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F1.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F1.mzML"	""	""	""	""	""
"Control-24h-1"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F2.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F2.mzML"	""	""	""	""	""
"Control-24h-1"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F3.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F3.mzML"	""	""	""	""	""
"Control-24h-1"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F4.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F4.mzML"	""	""	""	""	""
"Control-24h-1"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F5.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F5.mzML"	""	""	""	""	""
"Control-24h-1"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F6.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F6.mzML"	""	""	""	""	""
"Control-24h-1"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F7.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F7.mzML"	""	""	""	""	""
"Control-24h-1"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F8.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F8.mzML"	""	""	""	""	""
"Control-24h-2"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F1.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F1.mzML"	""	""	""	""	""
"Control-24h-2"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F2.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F2.mzML"	""	""	""	""	""
"Control-24h-2"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F3.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F3.mzML"	""	""	""	""	""
"Control-24h-2"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F4.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F4.mzML"	""	""	""	""	""
"Control-24h-2"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F5.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F5.mzML"	""	""	""	""	""
"Control-24h-2"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F6.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F6.mzML"	""	""	""	""	""
"Control-24h-2"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F7.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F7.mzML"	""	""	""	""	""
"Control-24h-2"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool2_F8.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool2_F8.mzML"	""	""	""	""	""
"Control-24h-3"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F1.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F1.mzML"	""	""	""	""	""
"Control-24h-3"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F2.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F2.mzML"	""	""	""	""	""
"Control-24h-3"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F3.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F3.mzML"	""	""	""	""	""
"Control-24h-3"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F4.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F4.mzML"	""	""	""	""	""
"Control-24h-3"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F5.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F5.mzML"	""	""	""	""	""
"Control-24h-3"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F6.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F6.mzML"	""	""	""	""	""
"Control-24h-3"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F7.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F7.mzML"	""	""	""	""	""
"Control-24h-3"	"extraction"	""	"labeling"	""	"128C"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool3_F8.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool3_F8.mzML"	""	""	""	""	""
"Control-2h-1"	"extraction"	""	"labeling"	""	"127N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F1.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F1.mzML"	""	""	""	""	""
"Control-2h-1"	"extraction"	""	"labeling"	""	"127N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F2.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F2.mzML"	""	""	""	""	""
"Control-2h-1"	"extraction"	""	"labeling"	""	"127N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F3.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F3.mzML"	""	""	""	""	""
"Control-2h-1"	"extraction"	""	"labeling"	""	"127N"	""	""	"mass spectrometry"	"Q Exactive HF"	"MS"	"http://purl.obolibrary.org/obo/MS_1002523"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	""	""	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"20200219_KKL_SARS_CoV2_pool1_F4.raw"	"data transformation"	""	""	"20200219_KKL_SARS_CoV2_pool1_F4.mzML"	""	""	""	""	""
